stratum,song,artist_or_query,status,terms_matched
trap,Tumbando El Club,Neo Pistea,ok,0
trap,ACA NO SE SALVA NINGUNO,YSY A,ok,0
trap,Sensualidad,Bad Bunny,ok,0
trap,Tarde o Temprano,Rusherking,ok,0
trap,Malbec,Duki,ok,0
tango,El Ciruja,Edmundo Rivero,ok,2
tango,Malena,Anibal Troilo,ok,0
tango,Tinta Roja,Lanz Khan,ok,0
tango,Oscura Sentencia,Xiyo,ok,0
tango,La Cumparsita,Carlos Gardel,ok,0
tango,Justo El 31,Julio Sosa,ok,0
tango,De Vuelta al Bulin,Edmundo Rivero,ok,0
tango,Che Bandoneón,Roberto Goyeneche,ok,0
tango,Tomo y obligo,Carlos Gardel,ok,0
tango,Tango Argentino,Carlos Gardel,ok,0
tango,Silbando,Carlos Gardel,ok,0
tango,Cambalache,Tita Merello,ok,0
trap,You Rock My World,Les garçons des Anges de la Téléréalité 6,ok,0
trap,Sonic,Duki,ok,1
trap,Recalculando,Malasuerte,ok,0
trap,Mamichula,Trueno,ok,0
trap,Colocao,NICKI NICOLE,ok,0
trap,Chefe do Crime Perfeito,Filipe Ret,ok,1
trap,DIGITAL TRASH,YUNDER,ok,0
trap,Bandido,Myke Towers,ok,0
trap,Nada,Cazzu,ok,0
trap,Arriba,Natanael Cano,ok,0
trap,Perfecta,Rusherking,ok,0
trap,Give It to Me,Timbaland,ok,0
tango,Cafetín de Buenos Aires,Edmundo Rivero,ok,0
tango,Mi noche triste,Carlos Gardel,ok,0
tango,Anclao en Paris,Carlos Gardel,ok,0
tango,Las cuarenta,Rolando Laserie,ok,0
tango,Dónde Hay Un Mango?,Tita Merello,ok,1
tango,Fumando Espero,Sara Montiel,ok,0
tango,Grieta: Odio,VlairX,ok,0
tango,Lo que yo soñé (Final),Manuel Acosta,ok,0
tango,Bandoneón Arrabalero,Carlos Gardel,ok,0
tango,Que Nadie Sepa Mi Sufrir,La Sonora Dinamita,ok,1
trap,June 2022 Singles Release Calendar,Genius,ok,1
trap,Juandi’s Popular Transcriptions,juandi,ok,0
trap,Polka’s Popular Transcriptions,polka,ok,1
trap,Sencillos del Mes de Abril 2021,Genius en Español,ok,0
trap,Sencillos del Mes de Marzo 2020,Genius en Español,ok,0
trap,Diseñar partes y dispositivos genéticos,Igem Paris Bettencourt team,ok,0
trap,Ella No Sabe,Tryhan,ok,0
trap,Butakera,La Joaqui,ok,1
trap,Rockstar,Duki,ok,0
trap,CASAPARLANTE: NEO PISTEA,Neo Pistea,ok,2
trap,Plan A,Paulo Londra,ok,0
trap,ALTA DATA,L-Gante,ok,0
trap,"Literally, My Life",MARISOL,idioma_sospechoso,0
trap,Poetas No Topo 2,Raffa Moreira,idioma_sospechoso,0
trap,Diablo,YSY A,ok,1
tango,Melodía de Arrabal,Carlos Gardel,no parece espanol rioplatense,0
tango,Corrientes y Esmeralda,Adriana Varela,ok,0
tango,Tomo y obligo,Carlos Gardel,ok,0
tango,Viejo smoking,Carlos Gardel,ok,1
tango,Canchero,Julio Sosa,ok,0
tango,Adiós Muchachos,Carlos Gardel,ok,0
tango,La Cumparsita,Julio Sosa,ok,0
tango,Sushi,Sanchz,homoglifo no latino (0x435),0
tango,Audacia,Carlos Gardel,no_encontrada,0
tango,Boy’s a liar Pt. 2,PinkPantheress,homoglifo no latino (0x435),0
tango,Coche Viejo,Os Paralamas do Sucesso,ok,0
tango,Mi noche triste,Carlos Gardel,ok,0
tango,La Mariposa,María Campos,ok,1
tango,Si Se Salva el Pibe,Edmundo Rivero,homoglifo no latino (0x435),0
tango,Pobre gallo bataraz,Carlos Gardel,no parece espanol rioplatense,0
tango,Pan,Carlos Gardel,ok,0
tango,Atenti Pebeta,Edmundo Rivero,homoglifo no latino (0x435),0
tango,Acquaforte,Agustín Magaldi,ok,0
tango,Niño Bien,La Mississippi,ok,0
trap,TRAP.N.EXPORT,Modo Diablo,ok,0
trap,I’m the One,DJ Khaled,ok,0
trap,No Vendo Trap,Duki,ok,1
trap,"L-Gante: Bzrp Music Sessions, Vol. 38/66",Bizarrap,ok,1
trap,Además de Mí (Remix),Rusherking,ok,0
trap,Te Sigo,LIT killah,ok,0
trap,Session freestyle #1,Lord Esperanza,ok,0
trap,Salimo de Noche,Tiago PZK,homoglifo no latino (0x435),0
trap,Animal,Maria Becerra,homoglifo no latino (0x435),0
trap,Visto a las 00:00,Cazzu,ok,0
trap,Sangría,Trueno,ok,1
trap,9/11,Remedy Ross,no parece espanol rioplatense,0
trap,Freestyle Pinamar 2017,Duki,ok,0
trap,Si Te Sentis Sola,Duki,ok,0
trap,No Se,YSY A,ok,0
trap,BIPOLAR,Peso Pluma,homoglifo no latino (0x435),0
trap,Malianteo 420,L-Gante,homoglifo no latino (0x435),0
trap,"Young Miko: Bzrp Music Sessions, Vol. 58/66",Bizarrap,ok,0
trap,Lola,Duki,ok,0
trap,Grünt #31,Grünt,ok,0
